Volta,Tempo_Volta,RPM,Acelerador,Freio
1,5.199,9384,61,0
1,5.215,9332,74,0
1,5.231,10568,62,0
1,5.247,11156,65,0
1,5.263,8276,50,0
1,5.28,5149,0,81
1,5.295,10362,56,0
1,5.312,4634,0,72
1,5.328,11169,73,0
1,5.343,8155,91,0
1,5.36,8001,64,0
1,5.375,10161,63,0
1,5.391,10805,53,0
1,5.407,12375,74,0
1,5.423,8694,92,0
1,5.439,8043,80,0
1,5.455,12698,89,0
1,5.471,12485,55,0
1,5.487,10271,88,0
1,5.503,9008,81,0
1,5.519,11031,80,0
1,5.535,10848,62,0
1,5.551,8777,94,0
1,5.567,10189,73,0
1,5.583,4489,0,60
1,5.6,8575,65,0
1,5.615,9418,91,0
1,5.631,8742,90,0
1,5.647,10607,86,0
1,5.663,9749,78,0
1,5.68,9236,90,0
1,5.695,10426,72,0
1,5.712,8930,55,0
1,5.728,8656,88,0
1,5.743,12787,87,0
1,5.76,9559,100,0
1,5.775,12430,97,0
1,5.791,12617,80,0
1,5.807,12729,69,0
1,5.823,10337,56,0
1,5.839,11444,81,0
1,5.855,11308,51,0
1,5.871,11923,82,0
1,5.887,9907,71,0
1,5.903,10157,61,0
1,5.919,8868,69,0
1,5.935,8367,82,0
1,5.951,9749,77,0
1,5.967,9791,100,0
1,5.983,8394,62,0
1,6.0,10527,92,0
1,6.015,11577,64,0
1,6.031,11942,57,0
1,6.047,10026,54,0
1,6.063,11377,87,0
1,6.079,11935,69,0
1,6.095,9479,83,0
1,6.113,9997,94,0
1,6.128,9555,87,0
1,6.143,4873,0,74
1,6.159,9424,62,0
1,6.175,11426,68,0
1,6.191,8672,57,0
1,6.207,12406,51,0
1,6.223,9975,84,0
1,6.239,10712,97,0
1,6.255,5970,0,79
1,6.271,11760,62,0
1,6.287,10610,100,0
1,6.303,11524,73,0
1,6.319,8720,53,0
1,6.335,11564,64,0
1,6.351,10911,99,0
1,6.367,8726,87,0
1,6.383,11255,82,0
1,6.4,11187,61,0
1,6.415,9471,87,0
1,6.431,10991,71,0
1,6.447,8485,94,0
1,6.463,12440,75,0
1,6.48,12304,96,0
1,6.495,12260,66,0
1,6.511,11898,91,0
1,6.527,10969,96,0
1,6.544,12724,93,0
1,6.56,9516,70,0
1,6.575,9079,64,0
1,6.591,11541,86,0
1,6.607,10054,61,0
1,6.622,10693,64,0
1,6.639,10009,94,0
1,6.655,12750,88,0
1,6.671,8362,58,0
1,6.687,9599,100,0
1,6.703,10007,51,0
1,6.719,8041,67,0
1,6.735,10344,51,0
1,6.753,11983,62,0
1,6.777,8371,93,0
1,6.799,6320,0,71
1,6.822,12811,97,0
1,6.847,12877,62,0
1,6.87,12595,95,0
1,6.892,10387,95,0
1,6.913,10954,60,0
1,6.935,6387,0,73
1,6.96,10388,76,0
1,6.982,10563,54,0
1,7.003,9208,54,0
1,7.026,10313,69,0
1,7.047,12700,60,0
1,7.071,12177,58,0
1,7.095,9805,88,0
1,7.117,9456,81,0
1,7.137,8449,61,0
1,7.156,8042,57,0
1,7.174,8738,94,0
1,7.191,6505,0,76
1,7.208,10330,72,0
1,7.251,10792,65,0
1,7.275,12262,78,0
1,7.307,12263,86,0
1,7.326,12119,50,0
1,7.358,9175,60,0
1,7.375,8849,78,0
1,7.391,8836,60,0
1,7.407,9620,61,0
1,7.422,12536,61,0
1,7.439,11977,90,0
1,7.455,11947,78,0
1,7.471,6879,0,65
1,7.487,10718,75,0
1,7.504,5744,0,80
1,7.521,8987,77,0
1,7.536,8846,64,0
1,7.552,12775,98,0
1,7.566,8452,61,0
1,7.583,8478,95,0
1,7.6,9343,50,0
1,7.615,9091,78,0
1,7.631,9515,90,0
1,7.647,8969,60,0
1,7.663,8955,92,0
1,7.68,9122,67,0
1,7.694,11767,74,0
1,7.712,11390,62,0
1,7.726,12007,72,0
1,7.743,9281,78,0
1,7.759,9534,72,0
1,7.775,10784,55,0
1,7.791,12462,63,0
1,7.815,10510,84,0
1,7.827,9601,55,0
1,7.839,9002,74,0
1,7.855,8610,54,0
1,7.871,11431,55,0
1,7.887,9200,52,0
1,7.903,12718,71,0
1,7.919,12425,70,0
1,7.935,8895,95,0
1,7.95,8923,88,0
1,7.967,12873,67,0
1,7.983,10918,96,0
1,8.0,11759,98,0
1,8.015,8369,60,0
1,8.031,9355,100,0
1,8.048,11491,85,0
1,8.063,8897,70,0
1,8.08,9030,53,0
1,8.095,8404,74,0
1,8.111,11254,66,0
1,8.127,9381,70,0
1,8.143,8797,75,0
1,8.16,10563,72,0
1,8.174,8290,76,0
1,8.191,9712,90,0
1,8.207,8902,75,0
1,8.223,9384,74,0
1,8.239,11075,99,0
1,8.255,12660,79,0
1,8.271,9237,78,0
1,8.287,9928,90,0
1,8.303,8678,80,0
1,8.318,11441,79,0
1,8.335,9689,91,0
1,8.351,12339,69,0
1,8.367,11367,61,0
1,8.383,10973,72,0
1,8.399,8765,80,0
1,8.415,12758,91,0
1,8.431,10538,71,0
1,8.447,8240,76,0
1,8.463,12110,87,0
1,8.48,11858,53,0
1,8.495,12772,58,0
1,8.512,9987,83,0
1,8.527,8730,51,0
1,8.543,8545,98,0
1,8.56,10404,59,0
1,8.575,9073,89,0
1,8.591,11758,62,0
1,8.607,8697,85,0
1,8.623,11196,60,0
1,8.638,12153,50,0
1,8.655,9780,65,0
1,8.671,10261,71,0
1,8.686,11302,60,0
1,8.703,12805,64,0
1,8.719,10397,89,0
1,8.735,10281,95,0
1,8.751,11798,85,0
1,8.767,11168,72,0
1,8.783,10957,56,0
1,8.8,4153,0,94
1,8.815,11785,60,0
1,8.831,4455,0,91
1,8.848,5840,0,64
1,8.863,8261,52,0
1,8.879,9083,85,0
1,8.895,9206,84,0
1,8.911,11031,97,0
1,8.929,9420,79,0
1,8.943,9462,55,0
1,8.959,9410,57,0
1,8.974,11049,54,0
1,8.991,5614,0,70
1,9.007,9872,68,0
1,9.023,11943,98,0
1,9.039,8662,78,0
1,9.055,10707,68,0
1,9.071,12282,79,0
1,9.086,8911,54,0
1,9.103,11833,61,0
1,9.119,10120,80,0
1,9.135,10083,93,0
1,9.151,12691,64,0
1,9.167,8929,84,0
1,9.183,8334,63,0
1,9.2,9133,68,0
1,9.215,8677,95,0
1,9.231,10745,73,0
1,9.247,11966,50,0
1,9.263,9880,68,0
1,9.28,11113,100,0
1,9.295,8126,96,0
1,9.311,8886,65,0
1,9.327,11643,97,0
1,9.343,9151,57,0
1,9.359,10684,90,0
1,9.375,11449,63,0
1,9.391,9324,91,0
1,9.407,9277,62,0
1,9.424,8970,71,0
1,9.45,10203,67,0
1,9.48,11719,81,0
1,9.5,8919,57,0
1,9.519,12204,59,0
1,9.533,12163,53,0
1,9.544,12333,99,0
1,9.561,10969,77,0
1,9.576,9680,51,0
1,9.592,9898,75,0
1,9.608,9582,77,0
1,9.623,10642,63,0
1,9.64,9149,58,0
1,9.656,9460,82,0
1,9.672,9668,60,0
1,9.688,9769,52,0
1,9.704,12054,98,0
1,9.72,12053,95,0
1,9.736,12768,76,0
1,9.752,4798,0,66
1,9.768,11827,87,0
1,9.784,6768,0,73
1,9.8,11878,70,0
1,9.816,11817,63,0
1,9.832,9591,54,0
1,9.849,8376,58,0
1,9.864,11963,99,0
1,9.88,12553,60,0
1,9.896,12631,66,0
1,9.912,12379,54,0
1,9.929,9994,58,0
1,9.944,10347,54,0
1,9.96,11847,85,0
1,9.976,10876,77,0
1,9.992,8295,64,0
1,10.008,12439,57,0
2,0.016,11827,88,0
2,0.031,12786,95,0
2,0.047,12954,70,0
2,0.063,10612,86,0
2,0.079,10240,86,0
2,0.095,8386,80,0
2,0.112,11763,64,0
2,0.127,10834,66,0
2,0.143,12900,74,0
2,0.159,9338,96,0
2,0.176,9816,67,0
2,0.192,9866,79,0
2,0.208,5328,0,80
2,0.224,12469,69,0
2,0.24,9602,53,0
2,0.255,11066,99,0
2,0.272,11811,75,0
2,0.287,11043,63,0
2,0.303,9245,60,0
2,0.32,8021,82,0
2,0.335,12945,82,0
2,0.352,9076,59,0
2,0.367,12026,91,0
2,0.383,10359,69,0
2,0.4,10792,86,0
2,0.415,12526,85,0
2,0.431,9350,86,0
2,0.447,12689,99,0
2,0.463,10147,70,0
2,0.479,11090,84,0
2,0.495,9893,91,0
2,0.512,8880,50,0
2,0.527,12673,60,0
2,0.544,5075,0,72
2,0.559,8976,94,0
2,0.576,9373,92,0
2,0.591,10430,84,0
2,0.607,8994,73,0
2,0.623,12182,66,0
2,0.64,8020,69,0
2,0.656,12667,76,0
2,0.671,9017,60,0
2,0.687,8966,100,0
2,0.704,11794,51,0
2,0.72,10583,54,0
2,0.735,8089,73,0
2,0.753,11906,100,0
2,0.767,12525,80,0
2,0.784,9219,97,0
2,0.799,5008,0,76
2,0.816,10338,77,0
2,0.831,8603,86,0
2,0.847,11317,56,0
2,0.863,12161,82,0
2,0.88,10081,53,0
2,0.895,9782,83,0
2,0.911,12116,66,0
2,0.928,11938,52,0
2,0.943,12341,87,0
2,0.96,10500,77,0
2,0.975,12877,52,0
2,0.992,10258,66,0
2,1.007,11593,87,0
2,1.023,11259,94,0
2,1.041,11994,77,0
2,1.056,8118,100,0
2,1.071,8957,55,0
2,1.087,9768,70,0
2,1.103,12883,70,0
2,1.12,12605,73,0
2,1.136,8411,66,0
2,1.152,8990,75,0
2,1.167,12702,51,0
2,1.183,8711,84,0
2,1.199,9618,67,0
2,1.216,9661,67,0
2,1.231,11624,55,0
2,1.247,9956,91,0
2,1.263,9431,80,0
2,1.279,9803,53,0
2,1.295,8159,62,0
2,1.311,9142,62,0
2,1.327,8820,99,0
2,1.344,8445,55,0
2,1.359,8529,84,0
2,1.375,9856,84,0
2,1.392,10992,87,0
2,1.408,11518,72,0
2,1.423,8388,88,0
2,1.439,9697,53,0
2,1.455,12755,63,0
2,1.471,11606,50,0
2,1.488,5558,0,60
2,1.504,12285,98,0
2,1.52,10085,75,0
2,1.535,9899,70,0
2,1.552,8060,68,0
2,1.567,9993,57,0
2,1.584,12918,98,0
2,1.599,10287,94,0
2,1.615,9589,66,0
2,1.631,9652,74,0
2,1.648,8354,68,0
2,1.663,12027,75,0
2,1.679,12093,60,0
2,1.696,9409,98,0
2,1.711,10235,68,0
2,1.728,12473,50,0
2,1.743,12005,81,0
2,1.76,4533,0,80
2,1.776,10627,53,0
2,1.792,12019,67,0
2,1.808,11143,72,0
2,1.824,4500,0,96
2,1.841,9316,82,0
2,1.855,10941,60,0
2,1.871,9190,89,0
2,1.888,8111,73,0
2,1.903,9008,100,0
2,1.92,12308,54,0
2,1.935,10148,76,0
2,1.952,8065,89,0
2,1.967,12934,56,0
2,1.983,8112,58,0
2,2.0,12239,75,0
2,2.015,9510,70,0
2,2.032,11079,62,0
2,2.047,8397,77,0
2,2.064,11508,54,0
2,2.079,10911,95,0
2,2.096,9618,100,0
2,2.112,4586,0,84
2,2.127,11396,65,0
2,2.143,12965,51,0
2,2.159,10608,88,0
2,2.176,4294,0,63
2,2.192,12477,72,0
2,2.207,11637,88,0
2,2.223,10213,57,0
2,2.239,11834,73,0
2,2.255,9664,82,0
2,2.272,9696,69,0
2,2.287,9119,100,0
2,2.304,12092,59,0
2,2.32,12995,72,0
2,2.335,9385,96,0
2,2.352,8764,56,0
2,2.367,8815,56,0
2,2.383,10185,64,0
2,2.4,12863,74,0
2,2.415,10157,79,0
2,2.431,11002,80,0
2,2.447,11658,55,0
2,2.464,8531,79,0
2,2.479,9708,51,0
2,2.496,8645,90,0
2,2.511,12392,76,0
2,2.527,9448,92,0
2,2.544,8552,87,0
2,2.56,4824,0,88
2,2.576,10136,70,0
2,2.592,11475,78,0
2,2.608,10708,67,0
2,2.624,9400,94,0
2,2.64,11666,71,0
2,2.656,12325,51,0
2,2.671,10376,97,0
2,2.687,9064,95,0
2,2.704,10915,85,0
2,2.721,8366,91,0
2,2.736,10041,67,0
2,2.752,10478,63,0
2,2.767,10042,55,0
2,2.783,8979,77,0
2,2.8,8024,100,0
2,2.815,10082,92,0
2,2.832,10473,81,0
2,2.848,12359,74,0
2,2.864,9397,88,0
2,2.88,9454,71,0
2,2.896,10842,55,0
2,2.911,8145,86,0
2,2.927,10101,66,0
2,2.944,8102,57,0
2,2.96,12028,81,0
2,2.975,12172,50,0
2,2.992,8222,97,0
2,3.008,10202,95,0
2,3.024,11938,64,0
2,3.04,10230,83,0
2,3.056,8335,88,0
2,3.071,8716,70,0
2,3.088,12242,70,0
2,3.104,11589,57,0
2,3.121,10352,59,0
2,3.135,10458,79,0
2,3.152,8255,88,0
2,3.167,10861,78,0
2,3.183,8290,61,0
2,3.2,12471,75,0
2,3.215,12006,55,0
2,3.231,12934,93,0
2,3.247,11924,59,0
2,3.263,11229,95,0
2,3.279,8283,60,0
2,3.296,11285,82,0
2,3.312,10311,84,0
2,3.327,10375,90,0
2,3.344,11532,55,0
2,3.359,10475,78,0
2,3.376,10697,92,0
2,3.392,11932,85,0
2,3.407,8222,90,0
2,3.424,10862,57,0
2,3.441,9460,96,0
2,3.455,9375,59,0
2,3.472,11889,69,0
2,3.487,8931,63,0
2,3.503,12035,86,0
2,3.52,11149,69,0
2,3.535,10049,86,0
2,3.552,9503,72,0
2,3.567,10700,87,0
2,3.583,10550,67,0
2,3.599,9558,55,0
2,3.615,8406,69,0
2,3.631,11544,80,0
2,3.647,11130,92,0
2,3.663,11769,99,0
2,3.679,12346,93,0
2,3.696,11175,79,0
2,3.711,9517,78,0
2,3.727,10966,98,0
2,3.744,9037,73,0
2,3.76,8765,54,0
2,3.776,9280,99,0
2,3.792,9878,81,0
2,3.807,11752,92,0
2,3.824,12456,77,0
2,3.839,11210,79,0
2,3.855,10968,97,0
2,3.872,12157,93,0
2,3.887,9677,77,0
2,3.904,12608,87,0
2,3.921,10160,100,0
2,3.936,10959,83,0
2,3.953,8625,84,0
2,3.968,11729,85,0
2,3.984,10888,62,0
2,3.999,10842,87,0
2,4.015,8193,97,0
2,4.031,10826,59,0
2,4.047,11461,53,0
2,4.064,8146,54,0
2,4.08,12576,51,0
2,4.096,8126,65,0
2,4.111,11000,99,0
2,4.127,12646,67,0
2,4.143,4370,0,84
2,4.159,9991,71,0
2,4.175,9284,67,0
2,4.191,11190,77,0
2,4.207,9776,71,0
2,4.223,8689,63,0
2,4.24,4999,0,80
2,4.256,11695,54,0
2,4.271,12985,51,0
2,4.288,10605,91,0
2,4.304,12826,93,0
2,4.32,9930,82,0
2,4.335,8718,60,0
2,4.352,9224,77,0
2,4.367,9893,82,0
2,4.385,9779,60,0
2,4.405,9325,82,0
2,4.417,10453,91,0
2,4.432,9194,82,0
2,4.448,12098,90,0
2,4.464,9990,58,0
2,4.479,11144,71,0
2,4.495,9480,63,0
2,4.512,10904,72,0
2,4.528,12596,72,0
2,4.544,8060,67,0
2,4.559,11551,52,0
2,4.575,9149,96,0
2,4.592,11524,93,0
2,4.608,8705,79,0
2,4.623,9707,64,0
2,4.64,4798,0,60
2,4.656,12857,96,0
2,4.671,11867,84,0
2,4.688,10769,72,0
2,4.704,9968,96,0
2,4.721,8074,90,0
2,4.735,12707,67,0
2,4.752,10848,68,0
2,4.768,6124,0,83
2,4.784,11974,92,0
2,4.799,9086,64,0
2,4.815,9127,57,0
2,4.831,10785,52,0
2,4.848,10179,78,0
2,4.863,10099,62,0
2,4.88,8117,75,0
2,4.895,11061,100,0
2,4.912,6934,0,60
2,4.928,8944,77,0
2,4.943,9401,96,0
2,4.96,10117,74,0
2,4.975,10532,88,0
2,4.992,12948,55,0
2,5.007,9182,67,0
2,5.024,8348,50,0
2,5.041,10865,65,0
2,5.055,9039,63,0
2,5.072,10776,72,0
2,5.088,6013,0,85
2,5.104,8688,89,0
2,5.121,12717,96,0
2,5.135,9240,71,0
2,5.153,12719,94,0
2,5.168,10534,50,0
2,5.183,9194,83,0
2,5.199,10867,66,0
2,5.215,12213,50,0
2,5.231,12033,51,0
2,5.248,9744,99,0
2,5.272,10437,56,0
2,5.283,10257,77,0
2,5.296,8653,79,0
2,5.311,9575,69,0
2,5.327,8856,94,0
2,5.344,10786,85,0
2,5.36,10781,65,0
2,5.376,8486,90,0
2,5.392,10660,97,0
2,5.407,11102,95,0
2,5.423,8614,78,0
2,5.441,11028,83,0
2,5.456,11696,65,0
2,5.472,9060,83,0
2,5.487,8303,94,0
2,5.504,8115,83,0
2,5.521,8370,75,0
2,5.535,9845,70,0
2,5.553,10041,67,0
2,5.568,8355,100,0
2,5.584,9188,61,0
2,5.599,12809,98,0
2,5.616,11519,75,0
2,5.632,9399,68,0
2,5.647,10607,95,0
2,5.663,12680,76,0
2,5.679,8866,76,0
2,5.695,8575,93,0
2,5.711,12750,99,0
2,5.729,10665,82,0
2,5.751,4996,0,61
2,5.766,11965,95,0
2,5.781,11231,86,0
2,5.796,10189,53,0
2,5.809,12734,60,0
2,5.823,8070,54,0
2,5.841,11087,95,0
2,5.855,10523,74,0
2,5.872,12845,58,0
2,5.887,11865,81,0
2,5.904,9713,95,0
2,5.921,8909,82,0
2,5.936,10795,76,0
2,5.952,8048,84,0
2,5.968,12995,99,0
2,5.983,8100,53,0
2,5.999,8512,56,0
2,6.016,9863,80,0
2,6.031,10644,78,0
2,6.048,10313,56,0
2,6.063,11009,60,0
2,6.079,8999,51,0
2,6.095,11970,98,0
2,6.111,11800,93,0
2,6.127,10099,78,0
2,6.144,11383,77,0
2,6.159,11994,64,0
2,6.176,12284,70,0
2,6.192,10325,50,0
2,6.208,11323,74,0
2,6.224,9301,92,0
2,6.241,9436,72,0
2,6.255,12114,51,0
2,6.271,12637,50,0
2,6.288,9641,50,0
2,6.304,11993,54,0
2,6.321,11161,53,0
2,6.335,12768,82,0
2,6.352,12994,90,0
2,6.367,12150,85,0
2,6.383,10291,61,0
2,6.399,11462,76,0
2,6.416,10801,66,0
2,6.431,8285,73,0
2,6.447,8401,74,0
2,6.463,8324,85,0
2,6.479,12615,59,0
2,6.496,9806,93,0
2,6.512,8634,92,0
2,6.527,12497,64,0
2,6.544,12068,83,0
2,6.559,11706,82,0
2,6.575,11121,53,0
2,6.592,12785,51,0
2,6.607,9056,88,0
2,6.623,8169,81,0
2,6.639,8006,58,0
2,6.656,9483,73,0
2,6.671,8665,58,0
2,6.688,12740,91,0
2,6.704,12362,68,0
2,6.72,10259,89,0
2,6.736,12254,81,0
2,6.753,12247,84,0
2,6.767,9776,89,0
2,6.783,9816,96,0
2,6.799,12394,70,0
2,6.815,8452,94,0
2,6.832,11078,51,0
2,6.848,12628,78,0
2,6.864,5521,0,64
2,6.88,11609,90,0
2,6.895,9314,73,0
2,6.911,10924,83,0
2,6.927,12849,83,0
2,6.944,9147,71,0
2,6.959,8043,78,0
2,6.975,11609,57,0
2,6.992,8409,99,0
2,7.007,12113,74,0
2,7.023,8250,50,0
2,7.039,10340,60,0
2,7.055,11550,79,0
2,7.072,5593,0,66
2,7.088,8385,80,0
2,7.104,12911,59,0
2,7.121,11910,69,0
2,7.135,8194,85,0
2,7.151,8670,50,0
2,7.167,10206,59,0
2,7.184,9123,54,0
2,7.199,12024,86,0
2,7.216,11335,91,0
2,7.232,11012,66,0
2,7.248,11645,97,0
2,7.264,8417,73,0
2,7.279,10021,54,0
2,7.296,12617,86,0
2,7.311,9472,61,0
2,7.328,12354,86,0
2,7.343,10481,88,0
2,7.359,8290,57,0
2,7.376,11814,61,0
2,7.392,12699,51,0
2,7.408,11067,69,0
2,7.424,9573,74,0
2,7.44,9747,58,0
2,7.456,9717,92,0
2,7.472,12742,80,0
2,7.487,12047,94,0
2,7.504,8629,77,0
2,7.52,9022,97,0
2,7.535,12289,95,0
2,7.553,8537,100,0
2,7.567,9690,71,0
2,7.584,12254,72,0
2,7.599,6289,0,87
2,7.616,9937,71,0
2,7.631,8225,67,0
2,7.647,12103,72,0
2,7.664,10025,93,0
2,7.679,11978,67,0
2,7.695,11035,77,0
